date,precipitation,o18,h2
2010-09-30,355.32,-999,-999
2010-10-31,464.83,-999,-999
2010-11-30,446.88,-999,-999
2010-12-31,427.13,-999,-999
2011-01-31,350.31,-999,-999
2011-02-28,442.21,-999,-999
2011-03-31,414.54,-999,-999
2011-04-30,350.69,-999,-999
2011-05-31,397.7,-999,-999
2011-06-30,270.78,-999,-999
2011-07-31,72.96,-999,-999
2011-08-31,153.72,-999,-999
2011-09-30,241.79,-999,-999
2011-10-31,160.1,-999,-999
2011-11-30,321.12,-999,-999
2011-12-31,352.92,-999,-999
2012-01-31,307.1,-999,-999
2012-02-29,245.63,-999,-999
2012-03-31,601.93,-999,-999
2012-04-30,501.22,-999,-999
2012-05-31,294.18,-999,-999
2012-06-30,236.79,-999,-999
2012-07-31,359.66,-999,-999
2012-08-31,201.31,-999,-999
2012-09-30,61.09,-999,-999
2012-10-31,147.09,-999,-999
2012-11-30,345.82,-999,-999
2012-12-31,457.9,-999,-999
2013-01-31,514.2,-999,-999
2013-02-28,552.44,-999,-999
2013-03-31,125.99,-999,-999
2013-04-30,470.63,-999,-999
2013-05-31,594.08,-999,-999
2013-06-30,150.32,-999,-999
2013-07-31,357.27,-999,-999
2013-08-31,218.49,-999,-999
2013-09-30,180.48,-999,-999
2013-10-31,170.79,-999,-999
2013-11-30,229.88,-999,-999
2013-12-31,268.56,-999,-999
2014-01-31,584.56,-999,-999
2014-02-28,181.3,-999,-999
2014-03-31,191.91,-999,-999
2014-04-30,289.67,-999,-999
2014-05-31,439.36,-999,-999
2014-06-30,306.43,-999,-999
2014-07-31,87.09,-999,-999
2014-08-31,171.36,-999,-999
2014-09-30,95.38,-999,-999
2014-10-31,157.39,-999,-999
2014-11-30,454.35,-999,-999
2014-12-31,314.52,-999,-999
2015-01-31,319.57,-999,-999
2015-02-28,343.29,-999,-999
2015-03-31,45.29,-999,-999
2015-04-30,166.63,-999,-999
2015-05-31,186.36,-999,-999
2015-06-30,344.52,-999,-999
2015-07-31,15.01,-999,-999
2015-08-31,0.04,-999,-999
2015-09-30,0.0,-999,-999
2015-10-31,8.25,-999,-999
2015-11-30,371.61,-999,-999
2015-12-31,213.98,-999,-999
2016-01-31,162.46,-999,-999
2016-02-29,345.92,-999,-999
2016-03-31,10.17,-999,-999
2016-04-30,318.43,-999,-999
2016-05-31,535.6,-999,-999
2016-06-30,679.65,-999,-999
2016-07-31,392.7,-999,-999
2016-08-31,53.56,-999,-999
2016-09-30,394.13,-999,-999
2016-10-31,232.19,-999,-999
2016-11-30,365.16,-999,-999
2016-12-31,492.81,-999,-999
2017-01-31,513.99,-999,-999
2017-02-28,293.66,-999,-999
2017-03-31,368.89,-999,-999
2017-04-30,231.25,-999,-999
2017-05-31,493.99,-999,-999
2017-06-30,563.18,-999,-999
2017-07-31,245.0,-999,-999
2017-08-31,210.03,-999,-999
2017-09-30,192.21,-999,-999
